ticker,name,market,krx_sector,internal_sector,sector_group,source,asof,is_manual,notes
361610,SK아이이테크놀로지,KOSPI,,unknown,unknown,unknown,,false,
373220,LG에너지솔루션,KOSPI,,energy,energy,name_inference,,false,
375500,DL이앤씨,KOSPI,,unknown,unknown,unknown,,false,
377300,카카오페이,KOSPI,,unknown,unknown,unknown,,false,
383220,F&F,KOSPI,,unknown,unknown,unknown,,false,auto_template
402340,SK스퀘어,KOSPI,,unknown,unknown,unknown,,false,
439260,대한조선,KOSPI,,unknown,unknown,unknown,,false,
443060,HD현대마린솔루션,KOSPI,,unknown,unknown,unknown,,false,
450080,에코프로머티,KOSPI,,unknown,unknown,unknown,,false,
453340,현대그린푸드,KOSPI,서비스업,식품서비스/급식,consumer_staples,manual,2026-07-02,true,current_holding
454910,두산로보틱스,KOSPI,,unknown,unknown,unknown,,false,
456040,OCI,KOSPI,,unknown,unknown,unknown,,false,
457190,이수스페셜티케미컬,KOSPI,,unknown,unknown,unknown,,false,
462870,시프트업,KOSPI,,unknown,unknown,unknown,,false,
475150,SK이터닉스,KOSPI,,unknown,unknown,unknown,,false,
483650,달바글로벌,KOSPI,,unknown,unknown,unknown,,false,
484870,엠앤씨솔루션,KOSPI,,unknown,unknown,unknown,,false,
489790,한화비전,KOSPI,,unknown,unknown,unknown,,false,
499790,GS피앤엘,KOSPI,,energy,energy,name_inference,,false,
