ticker,period_end,report_date,usable_from_date,roe,roa,operating_margin,gross_profitability,debt_ratio,interest_coverage,per,pbr,pcr,psr,ev_ebitda,dividend_yield,fcf,operating_cash_flow,net_income,earnings_yoy
060980,2026-12-31,2026-06-17,2026-06-17,1.91,,,,,,20.59,0.39,,,,4.31,,,2251.0,
011200,2026-12-31,2026-06-17,2026-06-17,6.93,,,,,,11.33,0.78,,,,3.17,,,1951.0,
035000,2026-12-31,2026-06-17,2026-06-17,8.2,,,,,,6.72,0.55,,,,7.64,,,1072.0,
002460,2026-12-31,2026-06-17,2026-06-17,6.38,,,,,,4.63,0.3,,,,5.56,,,2916.0,
487570,2026-12-31,2026-06-17,2026-06-17,3.79,,,,,,10.17,0.39,,,,1.86,,,5292.0,
298050,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,1.13,,,,1.23,,,,
015360,2026-12-31,2026-06-17,2026-06-17,13.77,,,,,,3.79,0.52,,,,7.12,,,4003.0,
294870,2026-12-31,2026-06-17,2026-06-17,4.89,,,,,,8.24,0.4,,,,3.43,,,2476.0,
175330,2026-12-31,2026-06-17,2026-06-17,11.4,,,,,,7.53,0.86,,,,4.18,,,3619.0,
234080,2026-12-31,2026-06-17,2026-06-17,12.97,,,,,,6.24,0.81,,,,4.77,,,1847.0,
001060,2026-12-31,2026-06-17,2026-06-17,16.57,,,,,,11.01,1.82,,,,2.33,,,2534.0,
001067,2026-12-31,2026-06-17,2026-06-17,,,,,,,,,,,,1.59,,,,
001065,2026-12-31,2026-06-17,2026-06-17,,,,,,,,,,,,3.18,,,,
096760,2026-12-31,2026-06-17,2026-06-17,21.8,,,,,,4.65,1.01,,,,5.5,,,841.0,
008970,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,1.14,,,,,,,,
105560,2026-12-31,2026-06-17,2026-06-17,9.36,,,,,,10.64,1.0,,,,2.66,,,15410.0,
002380,2026-12-31,2026-06-17,2026-06-17,19.66,,,,,,2.62,0.52,,,,2.73,,,209201.0,
344820,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.28,,,,6.58,,,,
009070,2026-12-31,2026-06-17,2026-06-17,6.7,,,,,,6.59,0.44,,,,1.61,,,707.0,
009440,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.17,,,,,,,,
119650,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,1.97,,,,,,,,
092220,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.5,,,,,,,,
003620,2026-12-31,2026-06-17,2026-06-17,3.16,,,,,,13.9,0.44,,,,,,,232.0,
016380,2026-12-31,2026-06-17,2026-06-17,6.56,,,,,,4.2,0.28,,,,5.13,,,1394.0,
001390,2026-12-31,2026-06-17,2026-06-17,6.89,,,,,,4.59,0.32,,,,3.19,,,1023.0,
001940,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.26,,,,7.6,,,,
025000,2026-12-31,2026-06-17,2026-06-17,6.73,,,,,,4.82,0.32,,,,7.31,,,10650.0,
092230,2026-12-31,2026-06-17,2026-06-17,7.18,,,,,,4.12,0.3,,,,6.33,,,20111.0,
000040,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.68,,,,,,,,
044450,2026-12-31,2026-06-17,2026-06-17,6.72,,,,,,6.21,0.42,,,,4.47,,,1619.0,
030200,2026-12-31,2026-06-17,2026-06-17,9.72,,,,,,7.77,0.76,,,,4.34,,,7119.0,
033780,2026-12-31,2026-06-17,2026-06-17,11.43,,,,,,18.32,2.09,,,,3.21,,,10220.0,
058850,2026-12-31,2026-06-17,2026-06-17,10.99,,,,,,3.92,0.43,,,,4.14,,,616.0,
058860,2026-12-31,2026-06-17,2026-06-17,15.23,,,,,,2.23,0.34,,,,5.28,,,1188.0,
093050,2026-12-31,2026-06-17,2026-06-17,5.96,,,,,,6.53,0.39,,,,2.94,,,3646.0,
003550,2026-12-31,2026-06-17,2026-06-17,2.57,,,,,,23.54,0.6,,,,2.76,,,4780.0,
034220,2026-12-31,2026-06-17,2026-06-17,3.43,,,,,,30.4,1.04,,,,,,,453.0,
051900,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,0.74,,,,0.84,,,,
051905,2026-12-31,2026-06-17,2026-06-17,,,,,,,,,,,,1.97,,,,
064400,2026-12-31,2026-06-17,2026-06-17,15.03,,,,,,20.31,3.05,,,,2.0,,,4549.0,
373220,2026-12-31,2026-06-17,2026-06-17,0.0,,,,,,,4.82,,,,,,,,
