date,ticker,name,foreign_net_value,institution_net_value,retail_net_value,program_net_value,foreign_5d_sum,institution_5d_sum,foreign_20d_sum,institution_20d_sum,foreign_5d_mcap_pct,institution_5d_mcap_pct,foreign_20d_mcap_pct,institution_20d_mcap_pct,flow_score,flow_signal,source,staleness_days
2026-07-07,123890,한국자산신탁,0.0,0.0,0.0,0.0,352729613.0,31461605.0,-176504717.0,1946284391.0,0.13564197173640327,0.012098542279725982,-0.06787478837127252,0.7484425538011884,80.0,ACCUMULATION,auto_pykrx,0.0
2026-07-02,128940,한미약품,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-09,138930,BNK금융지주,0.0,0.0,0.0,0.0,-22611800735.0,38519354055.0,-71875328660.0,112938443955.0,-0.41924295006477846,0.7141831744347311,-1.3326326893395877,2.093979465604018,20.0,DISTRIBUTION,cache_stale,1
2026-07-09,139130,iM금융지주,0.0,0.0,0.0,0.0,4596955265.0,4789830685.0,32665534175.0,-18068538615.0,0.15979481320924332,0.16649935783385897,1.135486997582144,-0.6280806722072647,80.0,ACCUMULATION,cache_stale,1
2026-07-02,139480,이마트,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-09,161390,한국타이어앤테크놀로지,0.0,0.0,0.0,0.0,800614050.0,19008202900.0,49890715500.0,-150098700.0,0.009435148205943654,0.2240095730147978,0.5879565751351357,-0.0017688966113191178,80.0,ACCUMULATION,cache_stale,1
2026-07-02,161890,한국콜마,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-08,175330,JB금융지주,0.0,0.0,0.0,0.0,-15881603750.0,22477151325.0,-39418327950.0,64693494975.0,-0.3450422200744247,0.4883364625015781,-0.8563988625827379,1.4055247493848118,20.0,DISTRIBUTION,cache_stale,2
2026-07-06,178920,PI첨단소재,-91740665.0,-12482470.0,91473295.0,12749840.0,2161113740.0,-805862280.0,14783058435.0,-8201382915.0,0.3688800499366089,-0.1375524631519068,2.5233171363385103,-1.399892325535097,80.0,ACCUMULATION,cache_stale,2.0
2026-07-02,180640,한진칼,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-06,181710,NHN,0.0,0.0,0.0,0.0,3064283500.0,-2328403075.0,-11663250300.0,11644383950.0,0.26465895675839457,-0.2011017351176998,-1.0073427138220183,1.005713246930708,20.0,DISTRIBUTION,cache_stale,2.0
2026-07-02,185750,종근당,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-08,192080,더블유게임즈,0.0,0.0,0.0,0.0,97948650.0,2363356450.0,13605824250.0,-2479154700.0,0.007509754599544047,0.18119930158046682,1.0431629352933953,-0.19007759077135053,80.0,ACCUMULATION,auto_pykrx,0.0
2026-07-08,192400,쿠쿠홀딩스,0.0,0.0,0.0,0.0,-78210100.0,328050025.0,-1903383125.0,1522120425.0,-0.008458650021731705,0.03547956531311604,-0.2058564266206668,0.16462175557894085,80.0,ACCUMULATION,cache_stale,2
2026-07-02,192820,코스맥스,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,195870,해성디에스,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-08,204320,HL만도,0.0,0.0,0.0,0.0,-13290946875.0,13326104375.0,37437670125.0,23364038325.0,-0.5747093127184237,0.576229546216603,1.6188295589224386,1.0102764336034307,20.0,DISTRIBUTION,cache_stale,2
2026-07-06,204620,글로벌텍스프리,163086604.0,-677314626.0,481615932.0,26069280.0,5043566703.0,-4141726459.0,5980672240.0,63637543.0,1.4919022278999388,-1.2251351663216468,1.7691008694081543,0.018824176970497018,80.0,ACCUMULATION,cache_stale,2.0
2026-07-02,207940,삼성바이오로직스,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-06,212560,네오오토,-401247710.0,29329330.0,408505190.0,-34690090.0,-987210190.0,896310.0,-1567528610.0,276688940.0,-0.6524127061684092,0.000592339948056864,-1.03592486463952,0.1828540486522618,20.0,DISTRIBUTION,auto_pykrx,0.0
2026-07-08,214320,이노션,0.0,0.0,0.0,0.0,-789234630.0,97961835.0,-1414880390.0,3599472915.0,-0.10829234769484082,0.013441525109769483,-0.1941383630625686,0.493890356064764,20.0,DISTRIBUTION,auto_pykrx,0.0
2026-07-08,229640,LS에코에너지,0.0,0.0,0.0,0.0,1038202700.0,-222701750.0,-2750410200.0,13673162900.0,0.055302822624164194,-0.011862842755408899,-0.14650842984158294,0.7283399499635307,80.0,ACCUMULATION,auto_pykrx,0.0
2026-07-06,236200,슈프리마,64109600.0,384805000.0,-276873150.0,2200.0,1226682950.0,1962096700.0,-3220403225.0,7018438625.0,0.37582456740600106,0.6011367024268514,-0.9866499317598859,2.150271722702426,20.0,DISTRIBUTION,auto_pykrx,0.0
2026-07-02,241560,두산밥캣,1982399750.0,1430250500.0,-2942610250.0,-20860800.0,19616713650.0,-8139423750.0,51286711350.0,-40584510750.0,0.3217729560126681,-0.1335109686059579,0.8412559315335654,-0.6657077339942414,80.0,ACCUMULATION,auto_pykrx,0.0
2026-07-02,248070,솔루엠,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,249420,일동제약,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,251270,넷마블,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,259960,크래프톤,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-08,267250,HD현대,0.0,0.0,0.0,0.0,6511971050.0,340388200.0,139492501050.0,-99288050300.0,0.040410406449737056,0.002112298320597477,0.8656286431311565,-0.6161376390370987,80.0,ACCUMULATION,cache_stale,2
2026-07-08,267260,HD현대일렉트릭,0.0,0.0,0.0,0.0,-192483189000.0,114404498500.0,-561252519000.0,462628512500.0,-0.5189274895532481,0.3084302556947108,-1.5131158321057676,1.2472291935446813,20.0,DISTRIBUTION,cache_stale,2
2026-07-08,267270,HD건설기계,0.0,0.0,0.0,0.0,-23405122150.0,23483269650.0,-140937711050.0,36416596650.0,-0.3839633740412784,0.38524539160908206,-2.312097271597139,0.5974179169508976,20.0,DISTRIBUTION,cache_stale,2
2026-07-08,271560,오리온,0.0,0.0,0.0,0.0,11822752700.0,7761643950.0,71114078100.0,-38163927800.0,0.21673348804545373,0.14228565960365502,1.303655974784097,-0.6996172041735136,80.0,ACCUMULATION,cache_stale,2
2026-07-06,272110,케이엔제이,0.0,0.0,0.0,0.0,-2144507075.0,379040975.0,-2493167600.0,-1092421100.0,-0.9458943125822048,0.1671865328250846,-1.0996807054853037,-0.4818426189779747,20.0,DISTRIBUTION,auto_pykrx,0.0
2026-07-02,272210,한화시스템,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-03,272290,이녹스첨단소재,-65552350.0,73256500.0,-17701600.0,4144600.0,2766080850.0,1721496325.0,-772010200.0,-5506451675.0,0.5866280543956071,0.3650934642000568,-0.1637272611173182,-1.1678035487388887,20.0,DISTRIBUTION,cache_stale,2.0
2026-07-02,278470,에이피알,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,279570,케이뱅크,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,280360,롯데웰푸드,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,281820,케이씨텍,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-08,282330,BGF리테일,0.0,0.0,0.0,0.0,-14748021900.0,18615472850.0,42093361150.0,-28429579450.0,-0.7491489136185464,0.9456021530638659,2.1381983285552093,-1.4441250971833484,20.0,DISTRIBUTION,cache_stale,2
2026-07-02,285130,SK케미칼,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-08,294870,IPARK현대산업개발,0.0,0.0,0.0,0.0,3669682670.0,2491660965.0,3273237720.0,-1226825430.0,0.2924339892827391,0.19855840993876164,0.26084161776591364,-0.09776470798997228,80.0,ACCUMULATION,cache_stale,2
2026-07-06,298000,효성화학,-346350875.0,-502750.0,339438575.0,8276150.0,363713500.0,-1887998975.0,-3072446225.0,2340413925.0,0.15750539941878267,-0.8175941576532828,-1.330516656273017,1.0135115415358675,20.0,DISTRIBUTION,cache_stale,1.0
2026-07-02,298020,효성티앤씨,,,,,,,,,,,,,0.0,STALE,template,999.0
2026-07-02,298040,효성중공업,,,,,,,,,,,,,0.0,STALE,template,999.0
