ticker,name,market,sector,listing_date,is_etf,is_spac,is_managed,is_halted,as_of
003920,남양유업,KOSPI,,,false,false,false,false,2026-07-19
003925,남양유업우,KOSPI,,,false,false,false,false,2026-07-19
025860,남해화학,KOSPI,,,false,false,false,false,2026-07-19
005720,넥센,KOSPI,,,false,false,false,false,2026-07-19
005725,넥센우,KOSPI,,,false,false,false,false,2026-07-19
002350,넥센타이어,KOSPI,,,false,false,false,false,2026-07-19
002355,넥센타이어1우B,KOSPI,,,false,false,false,false,2026-07-19
092790,넥스틸,KOSPI,,,false,false,false,false,2026-07-19
251270,넷마블,KOSPI,,,false,false,false,false,2026-07-19
090350,노루페인트,KOSPI,,,false,false,false,false,2026-07-19
090355,노루페인트우,KOSPI,,,false,false,false,false,2026-07-19
000320,노루홀딩스,KOSPI,,,false,false,false,false,2026-07-19
000325,노루홀딩스우,KOSPI,,,false,false,false,false,2026-07-19
006280,녹십자,KOSPI,,,false,false,false,false,2026-07-19
005250,녹십자홀딩스,KOSPI,,,false,false,false,false,2026-07-19
005257,녹십자홀딩스2우,KOSPI,,,false,false,false,false,2026-07-19
004370,농심,KOSPI,,,false,false,false,false,2026-07-19
072710,농심홀딩스,KOSPI,,,false,false,false,false,2026-07-19
058730,다스코,KOSPI,,,false,false,false,false,2026-07-19
030210,다올투자증권,KOSPI,,,false,false,false,false,2026-07-19
023590,다우기술,KOSPI,,,false,false,false,false,2026-07-19
145210,다이나믹디자인,KOSPI,,,false,false,false,false,2026-07-19
483650,달바글로벌,KOSPI,,,false,false,false,false,2026-07-19
019680,대교,KOSPI,,,false,false,false,false,2026-07-19
019685,대교우B,KOSPI,,,false,false,false,false,2026-07-19
006370,대구백화점,KOSPI,,,false,false,false,false,2026-07-19
008060,대덕,KOSPI,,,false,false,false,false,2026-07-19
00806K,대덕1우,KOSPI,,,false,false,false,false,2026-07-19
353200,대덕전자,KOSPI,,,false,false,false,false,2026-07-19
35320K,대덕전자1우,KOSPI,,,false,false,false,false,2026-07-19
000490,대동,KOSPI,,,false,false,false,false,2026-07-19
005750,대림바스,KOSPI,,,false,false,false,false,2026-07-19
006570,대림통상,KOSPI,,,false,false,false,false,2026-07-19
001680,대상,KOSPI,,,false,false,false,false,2026-07-19
001685,대상우,KOSPI,,,false,false,false,false,2026-07-19
084690,대상홀딩스,KOSPI,,,false,false,false,false,2026-07-19
084695,대상홀딩스우,KOSPI,,,false,false,false,false,2026-07-19
128820,대성산업,KOSPI,,,false,false,false,false,2026-07-19
117580,대성에너지,KOSPI,,,false,false,false,false,2026-07-19
016710,대성홀딩스,KOSPI,,,false,false,false,false,2026-07-19
0030R0,대신밸류리츠,KOSPI,,,false,false,false,false,2026-07-19
003540,대신증권,KOSPI,,,false,false,false,false,2026-07-19
003547,대신증권2우B,KOSPI,,,false,false,false,false,2026-07-19
